Artikelnummer,Produktname,Preis_1,Preis_2,Ab_Menge_2,Preis_3,Ab_Menge_3,Preis_4,Ab_Menge_4
1311-E,Beerenobstschalen 1.000 g Holzschliff,166.46,159.85,,153.22,,149.25,
8396-SH,"LDPE-Abdeckung, unbedruckt,  für 60 x 40 cm Steige",175.44,165.12,,154.8,,144.48,
7634-OS,Verkaufswaage ER-J,180.6,164.09,,138.7,,,
8801-C,"Big Box, Maße: 120 x 100 x 76 cm - G/S/F",185.99,180.68,,172.72,,159.42,
8354-SH,Mehrwegtasche Spargel-/Erdbeerdesign,191.95,156.86,,141.38,,,
1230-OS,Elicom S300,195.05,184.73,,180.6,,,
8801,"Big Box, Maße: 120 x 100 x 76 cm",200.06,185.46,,170.83,,154.76,
8862-GS,"Big Box, Maße: 120 x 80 x 79 cm - G/K mit 2"" Gewin",224.7,212.99,,205.97,,203.63,
1230-H-OS,Elicom S300 mit Hochanzeige,226.01,214.66,,208.67,,,
7624-OS,Verkaufswaage ER-JR Hoch,232.89,209.49,,204.8,,197.78,
8150,Himbeer-/Brombeererntehelfer mit Lenkrollen für 40,245.77,229.84,,215.21,,204.59,
7637-OS,Verkaufswaage ER Plus,252.84,237.36,,227.04,,221.88,
7653-OS,Verkaufswaage Digi DS 781,259.86,253.6,,246.13,,240.12,
7630-OS,Verkaufswaage ER Plus Hoch,291.41,275.02,,266.77,,263.31,
7707-OS,PB Plattformwaage,317.86,298.25,,273.48,,267.29,
7652-OS,Verkaufswaage Digi DS 781 mit Hochanzeige,360.86,354.14,,346.23,,338.98,
7706-WE,PB Plattformwaage 15/30 mit Werkseichung,378.74,359.14,,334.37,,,
7580-OS,Bon-Druckerwaage CT 100,638.81,628.49,,618.17,,,
7581-TTSE,Bon-Druckerwaage CT 100-TTSE (6/15),677.6,660.02,,614.04,,,
7582-FTSE,Bon-Druckerwaage CT 100-FTSE (15/30),677.6,660.02,,618.17,,,
7525,offene Ladenkasse Helmac GPE-XT-NF 30 kg,2021.69,1887.53,,1753.37,,,
